,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1301,128,0,2,0,8,22,19,11,0,1,3,21,9,3,1,0,0,13,2,13,0,0,8,0,4,5,14,3,2,3,3,1,0,11,13,2,0,11,61,3,41,0,0,0,2,0,0,0,3
1,75,1346,0,1,0,4,13,2,5,0,0,1,5,7,0,0,0,0,11,6,21,0,0,1,0,0,0,2,0,0,0,4,4,0,1,3,5,0,11,95,0,14,0,1,0,0,0,0,0,0
2,0,0,1132,49,23,26,1,3,46,1,34,1,0,4,1,3,0,9,0,0,0,31,109,0,0,1,0,0,0,25,0,0,0,0,1,0,0,9,4,0,3,0,14,1,0,0,1,10,0,1
3,3,0,101,1189,16,36,21,0,11,0,8,0,4,1,0,1,0,11,4,2,0,41,38,0,0,1,0,3,1,25,0,0,0,2,4,1,0,4,6,11,2,5,4,1,0,2,0,3,0,1
4,0,1,24,21,1032,159,2,2,40,0,88,0,0,0,1,14,1,0,1,0,0,100,66,5,0,0,4,0,4,5,2,0,1,2,10,0,0,2,6,0,1,2,3,1,0,1,2,0,2,1
5,0,0,1,4,79,1321,4,4,143,1,47,0,2,1,2,8,0,0,0,0,2,1,9,6,0,0,2,1,0,1,1,0,0,0,2,0,1,2,10,2,1,2,0,0,0,0,1,0,0,2
6,20,13,1,2,8,21,1316,0,0,0,2,3,15,1,2,3,0,2,0,43,4,1,6,0,1,1,0,7,1,34,0,0,0,0,1,11,1,0,7,110,3,4,0,0,0,0,0,0,0,0
7,19,3,0,0,5,4,2,1562,28,8,2,0,0,6,6,5,0,1,2,0,21,1,0,2,0,2,7,1,1,11,0,0,0,3,4,2,4,8,14,2,2,10,3,0,1,1,2,1,0,6
8,4,0,10,3,19,16,1,28,1454,0,110,1,0,5,0,1,1,0,0,0,18,3,12,1,0,1,2,1,0,12,2,0,0,0,1,0,0,4,8,2,3,0,2,4,0,0,1,0,0,1
9,8,0,0,0,16,14,0,108,21,1277,24,0,0,0,4,105,1,0,9,0,21,8,3,7,5,1,41,0,0,5,1,0,0,0,6,0,0,0,1,0,1,0,2,2,0,1,36,1,3,12
10,0,0,5,5,24,11,0,3,58,2,1332,0,0,1,0,4,0,1,0,0,2,4,10,1,1,0,0,1,2,2,1,0,0,0,1,1,0,2,3,1,0,1,0,2,0,2,1,0,0,1
11,22,14,0,0,0,5,3,0,10,0,6,1243,7,38,9,4,1,1,26,59,33,0,2,1,1,4,12,4,1,13,5,5,48,32,9,18,4,36,9,62,4,9,2,0,0,7,0,0,0,0
12,19,13,0,0,0,4,27,7,3,0,0,1,792,24,30,1,0,1,4,5,3,0,0,2,1,14,3,391,1,11,0,2,1,1,0,5,12,0,8,136,0,12,0,0,0,0,0,1,0,2
13,27,20,0,0,0,2,2,7,7,0,1,0,20,1168,25,1,0,0,5,6,3,0,0,1,0,150,2,13,5,2,8,108,0,1,1,1,10,11,27,55,6,38,1,1,0,4,1,3,0,9
14,1,5,1,0,4,10,2,2,0,0,2,3,56,40,1085,0,0,0,0,3,1,0,2,16,3,7,9,61,6,17,2,1,2,4,5,42,67,10,12,10,22,65,2,2,0,14,0,1,0,1
15,8,2,0,1,12,23,5,35,52,25,32,1,0,0,1,1256,1,2,0,1,37,1,8,7,1,0,5,0,1,5,0,0,0,0,33,1,0,1,1,3,0,0,1,1,0,0,7,0,0,2
16,1,0,1,3,4,8,2,1,0,2,2,0,1,0,13,1,1278,14,6,0,1,44,29,12,191,1,9,0,15,9,2,1,1,0,2,13,2,11,22,1,3,8,4,3,3,10,0,1,0,1
17,0,0,53,18,3,8,12,0,4,0,2,0,8,3,28,0,9,1063,20,0,0,6,23,1,9,0,2,8,32,46,0,1,0,0,2,4,3,8,9,3,6,4,55,10,3,14,1,7,0,4
18,63,18,5,3,1,6,5,24,21,2,3,14,2,10,18,5,1,28,1291,4,21,4,1,16,0,5,19,4,10,15,1,13,14,1,24,7,1,18,13,32,5,19,7,18,1,12,1,3,0,0
19,23,29,0,2,2,37,91,8,18,0,0,42,29,15,16,0,0,0,17,1162,12,1,0,0,0,4,1,14,3,3,5,2,9,6,3,58,5,5,31,184,10,72,1,0,0,3,0,1,0,1
20,21,10,0,1,0,5,8,42,32,1,2,10,2,2,5,8,0,1,4,1,1494,1,0,2,4,1,6,7,0,3,1,0,19,1,1,1,5,1,6,2,0,4,0,0,0,0,0,0,0,0
21,0,0,34,24,89,38,1,1,4,0,10,0,0,5,1,2,1,1,1,0,0,1436,139,2,11,0,1,2,5,1,0,0,0,1,1,1,0,2,6,0,2,0,2,4,0,1,5,3,5,7
22,1,0,17,30,35,20,6,5,14,2,44,0,1,5,5,7,2,3,3,0,0,84,1421,2,3,1,9,4,5,16,0,0,0,1,1,0,0,11,8,3,3,2,1,3,0,8,0,2,1,7
23,14,2,0,2,15,18,2,41,33,10,7,0,11,8,30,36,22,5,13,0,12,5,3,1206,39,3,79,14,2,5,1,0,2,2,159,13,11,4,9,3,2,24,5,2,0,5,2,5,0,8
24,0,1,0,1,14,11,1,0,3,1,1,1,0,0,5,3,159,10,0,0,0,56,5,53,1498,0,7,0,11,0,1,0,2,0,1,3,1,1,8,1,2,6,3,2,8,3,0,3,0,7
25,2,2,1,0,0,3,2,5,10,0,0,1,10,42,10,0,10,0,2,0,1,3,6,0,3,1451,0,4,1,7,22,32,0,6,0,2,1,2,35,25,0,2,5,5,1,1,0,15,0,9
26,42,10,0,1,10,14,3,47,29,21,5,8,0,19,4,39,2,0,8,0,12,3,7,53,18,2,1407,1,1,0,2,1,6,0,59,0,1,8,3,8,6,1,6,4,0,2,0,1,0,9
27,11,12,1,0,0,8,9,5,2,0,0,1,174,54,35,0,0,1,2,3,1,1,1,6,1,10,2,1360,3,8,0,8,1,4,0,17,62,2,11,43,7,24,3,1,0,7,0,2,0,1
28,7,0,7,9,0,1,9,5,3,0,1,2,4,1,36,0,11,65,45,0,0,13,9,5,17,9,0,7,1255,55,4,61,4,2,1,14,9,0,44,15,15,12,5,15,13,11,0,1,0,3
29,2,4,18,10,20,37,58,9,34,1,29,1,19,7,5,3,0,2,1,2,5,13,117,2,0,7,3,18,2,1187,1,2,0,22,1,0,2,12,12,31,15,1,1,1,0,0,2,1,0,0
30,2,0,0,1,4,7,0,11,13,0,2,0,2,7,5,0,5,0,2,2,0,1,1,7,3,146,1,5,2,10,1191,4,0,18,0,14,10,8,279,12,6,11,6,1,0,7,0,2,0,1
31,27,25,0,0,0,0,3,6,5,0,0,1,23,96,7,1,0,0,11,4,5,0,0,1,0,206,2,10,4,3,6,1081,3,0,0,1,4,3,26,157,5,4,0,1,0,0,0,0,0,0
32,10,11,1,0,5,18,12,7,12,1,2,53,2,24,13,3,4,3,6,14,29,0,4,12,27,1,13,10,4,4,1,5,1253,3,5,10,49,2,42,23,14,20,0,3,0,6,0,0,0,1
33,5,2,4,0,5,17,1,36,17,7,1,6,3,16,33,3,4,3,0,2,2,5,2,14,2,20,22,9,4,45,31,1,2,1268,7,1,37,51,28,14,16,6,8,1,0,5,2,2,1,2
34,23,0,0,0,18,6,4,31,29,8,9,6,1,8,10,84,3,2,17,2,18,0,3,169,8,3,157,2,0,8,0,2,3,7,948,6,3,15,2,6,0,4,10,3,1,2,1,1,0,2
35,16,2,0,0,1,13,5,2,3,0,0,3,47,43,89,0,1,0,2,20,1,0,1,5,3,13,0,85,2,3,38,4,3,4,2,818,68,16,104,116,14,172,3,0,0,9,0,1,0,3
36,4,0,1,0,2,8,1,12,8,0,1,0,11,35,138,1,2,3,3,1,0,4,1,20,10,10,7,110,5,13,2,2,10,15,2,33,1155,6,30,11,63,35,6,2,0,34,0,0,0,3
37,2,0,8,1,2,0,1,8,8,1,24,8,3,2,16,0,0,0,30,2,1,19,7,2,3,19,8,4,0,8,18,2,23,56,0,9,0,1323,40,7,9,7,12,46,3,69,6,6,0,1
38,3,10,0,0,0,9,0,10,10,0,1,1,10,7,12,0,1,0,3,4,3,0,0,4,4,45,1,5,0,2,69,9,4,1,0,14,5,1,1375,25,1,19,2,1,0,2,0,0,0,0
39,4,54,0,0,0,2,5,0,3,0,0,2,17,18,2,0,0,0,12,15,4,0,0,0,0,18,0,4,1,0,2,11,4,0,0,32,1,2,26,1291,3,6,0,0,0,0,0,0,0,0
40,14,4,3,1,6,22,15,8,16,1,4,6,7,24,41,4,2,11,33,3,11,3,5,7,7,9,14,37,12,37,8,4,54,21,3,61,104,21,36,94,891,32,6,3,0,64,0,3,0,4
41,32,15,0,0,1,5,10,5,4,1,0,1,49,57,122,0,1,2,9,14,2,1,0,2,0,12,4,50,5,4,10,18,12,1,1,176,65,5,70,36,29,774,0,2,0,8,0,0,0,1
42,2,0,28,2,3,10,1,1,8,1,1,5,2,4,13,0,1,78,20,0,0,3,4,5,5,1,5,21,2,41,11,0,0,10,8,10,3,29,13,0,3,4,1384,4,1,7,4,50,2,1
43,2,0,10,1,3,9,0,2,9,0,9,4,0,2,7,7,2,10,80,0,1,28,14,36,6,3,6,1,2,18,0,0,11,0,2,2,0,18,16,1,2,5,5,1250,10,25,1,4,0,1
44,0,0,22,2,4,2,0,1,12,0,42,2,0,0,6,0,16,37,12,0,0,86,51,12,88,1,0,0,18,13,0,0,13,0,1,0,0,5,8,1,0,1,7,168,1092,20,1,5,1,1
45,0,1,2,0,3,5,3,0,2,0,27,2,4,15,24,0,1,0,18,4,2,22,10,2,2,13,5,11,3,6,4,2,16,1,2,11,60,62,65,24,7,28,2,45,9,1355,0,3,0,1
46,0,0,1,1,6,0,2,9,5,25,5,0,5,1,6,5,0,3,19,0,0,18,15,3,4,2,0,7,3,33,0,0,0,1,0,0,0,6,1,1,0,4,8,6,1,1,1532,43,2,20
47,0,0,9,0,2,1,1,3,3,0,3,4,5,3,11,2,1,10,10,0,0,9,7,1,0,5,9,2,2,58,0,1,1,0,0,0,1,3,2,0,1,1,28,11,0,6,141,1338,8,19
48,0,0,0,2,20,3,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,16,18,0,2,0,0,1,0,26,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,34,34,1690,5
49,0,3,0,0,0,3,2,51,20,13,6,0,2,1,0,11,0,0,3,0,18,1,0,3,1,0,28,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,3,1,1629
